Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count,Geometry Point
Residential Rental Accommodation (Long-Term),MCQUEEN APARTMENTS,14504 - 108 AVENUE NW,121039670-001,Issued,"Jun 11, 2024","May 31, 2026",,3300,McQueen,Nakota Isga,53.553935,-113.572641,"(53.55393503954581, -113.5726410803856)",1,POINT (-113.5726410803856 53.55393503954581)
Food Processing / Catering Service,TRAVELLING DISHES FROM AUNTY DUPE'S BUKA,,309200088-002,Issued,"Apr 08, 2024","May 20, 2025",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",THE MOTH CAFE,9449 - JASPER AVENUE NW,266608728-002,Issued,"Nov 21, 2023","Dec 20, 2024",,1020,Boyle Street,O-day'min,53.545277,-113.478240,"(53.54527702882021, -113.47824010443732)",1,POINT (-113.47824010443732 53.54527702882021)
Alcohol Sales (Consumption Off-Premises),ACE LIQUOR DISCOUNTER AT 99TH STREET,8169 - 99 STREET NW,041036530-002,Renewal Notice,"Sep 06, 2023","Sep 22, 2024",Old Strathcona,6610,Ritchie,papastew,53.517737,-113.485530,"(53.51773703131037, -113.48553011202786)",1,POINT (-113.48553011202786 53.51773703131037)
Delivery and Logistic Service,871406 ALBERTA LTD,,063536409-004,Issued,"Nov 25, 2023","Jan 07, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",D & S CONCRETE,,099349095-001,Issued,"Jun 12, 2024","Jun 27, 2025",,,,,,,,1,
Retail Sales (Minor),COSMOPROF,4936 - 98 AVENUE NW,260024663-002,Issued,"Oct 10, 2023","Nov 18, 2024",,6180,Eastgate Business Park,Métis,53.537951,-113.416199,"(53.53795102187662, -113.41619862081484)",1,POINT (-113.41619862081484 53.53795102187662)
Manufacturer,CAREST FURNITURE DESIGN LTD,12610 - 72 STREET NW,007373253-001,Issued,"Jan 10, 2024","Jan 22, 2025",,1270,Yellowhead Corridor East,Métis,53.583266,-113.452959,"(53.5832660235763, -113.45295909735817)",1,POINT (-113.45295909735817 53.5832660235763)
Personal Service,NAILS BY LENA,,507488831-001,Issued,"Apr 29, 2024","Apr 28, 2025",,,,,,,,1,
Restaurant or Food Service,OODLE NOODLE,10842 - JASPER AVENUE NW,101928903-001,Issued,"Feb 02, 2024","Jan 20, 2025",Downtown,1090,Downtown,O-day'min,53.541281,-113.507369,"(53.54128103252024, -113.50736859924749)",1,POINT (-113.50736859924749 53.54128103252024)
"Vehicle Repair, Maintenance, and Modification",FASTECH PERFORMANCE TIRE CENTRES INC,4726 - 97 STREET NW,007246627-001,Issued,"Nov 18, 2022","Dec 31, 2024",,6560,Papaschase Industrial,Karhiio,53.485400,-113.480360,"(53.48540003260573, -113.48035962399547)",1,POINT (-113.48035962399547 53.48540003260573)
Retail Sales (Minor),MEDISENSE PHARMACY,12246 - 107 AVENUE NW,292157889-002,Issued,"Feb 16, 2024","Mar 24, 2026",124 Street and Area,3440,Westmount,O-day'min,53.551280,-113.533635,"(53.55128003505793, -113.53363509000901)",1,POINT (-113.53363509000901 53.55128003505793)
"Industrial Equipment Sales, Rental, and Repair",MAINLINE EQUIPMENT LTD,14535 - 114 AVENUE NW,007269171-002,Issued,"Nov 27, 2023","Dec 31, 2024",,3230,Huff Bremner Estate Industrial,Anirniq,53.562341,-113.572754,"(53.56234103906666, -113.57275357753672)",1,POINT (-113.57275357753672 53.56234103906666)
"Wholesale, Warehouse, and Storage",WESTMOUNT STORE FIXTURES (1999) LTD,8520 - 106A AVENUE NW,007465261-001,Issued,"Nov 20, 2023","Dec 31, 2024",,1020,Boyle Street,O-day'min,53.556167,-113.474069,"(53.55616702768272, -113.47406860172046)",1,POINT (-113.47406860172046 53.55616702768272)
"Personal Service, Retail Sales (Minor)",ROGUE SALON,,508405141-001,Issued,"Jun 17, 2024","Jun 16, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",LANGER EXCO MACHINE LTD,3645 - 93 STREET NW,007443374-001,Issued,"Jan 26, 2024","Jan 27, 2025",,6700,Strathcona Industrial Park,Karhiio,53.471657,-113.472246,"(53.47165703245532, -113.4722461303991)",1,POINT (-113.4722461303991 53.47165703245532)
"Construction, Contracting, and Labour Service",1936996 ALBERTA LTD.,,305225485-002,Issued,"Jan 05, 2024","Jan 29, 2026",,,,,,,,1,
Residential Rental Accommodation (Long-Term),JK GLOBAL LTD,10735 - 127 STREET NW,007266811-002,Issued,"Sep 26, 2023","Nov 08, 2025",,3440,Westmount,O-day'min,53.551955,-113.540705,"(53.55195503585977, -113.54070458819923)",1,POINT (-113.54070458819923 53.55195503585977)
"Alcohol Sales (Consumption On-Premises / Minors Allowed), Spectator Entertainment",METRO CINEMA,8712 - 109 STREET NW,133029087-001,Issued,"Dec 11, 2023","Jan 08, 2025",,5200,Garneau,papastew,53.523164,-113.512544,"(53.52316403420224, -113.51254360415875)",1,POINT (-113.51254360415875 53.52316403420224)
Residential Rental Accommodation (Long-Term),EDMONTON CITY CENTRE CHURCH CORPORATION,9538 - 106A AVENUE NW,071501950-001,Issued,"Dec 05, 2023","Dec 03, 2024",,1140,McCauley,O-day'min,53.552099,-113.484612,"(53.55209902917646, -113.48461210072054)",1,POINT (-113.48461210072054 53.55209902917646)
"Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",MOBIL GASBAR #1769,4016 - 17 STREET NW,087816530-001,Issued,"Jul 06, 2024","Jul 31, 2025",,6390,Larkspur,Sspomitapi,53.479064,-113.369781,"(53.479064019856104, -113.3697811509141)",1,POINT (-113.3697811509141 53.479064019856104)
"Wholesale, Warehouse, and Storage",WINNER GARMENT,11625 - 120 STREET NW,181310573-002,Issued,"May 06, 2024","Jun 14, 2026",Kingsway,1170,Prince Rupert,O-day'min,53.567831,-113.528600,"(53.56783103348685, -113.52859958557922)",1,POINT (-113.52859958557922 53.56783103348685)
Administration Office / Professional Service,POWERHOUSE LIFE CYCLE INC.,,504622038-001,Issued,"Mar 28, 2024","Mar 27, 2025",,,,,,,,1,
"Administration Office / Professional Service, Manufacturer",TIRE PRESSURE CONTROL INTERNATIONAL LTD,15803 - 121A AVENUE NW,007271826-001,Issued,"Dec 29, 2023","Jan 08, 2025",,4190,Hawin Park Estate Industrial,Nakota Isga,53.572736,-113.594574,"(53.572736041057645, -113.59457406915982)",1,POINT (-113.59457406915982 53.572736041057645)
Residential Rental Accommodation (Long-Term),AXIS REAL ESTATE INVESTMENT CORPORATION,9526 - 103 AVENUE NW,075918589-001,Issued,"Oct 11, 2023","Oct 29, 2024",Downtown,1020,Boyle Street,O-day'min,53.547041,-113.481224,"(53.547041029071146, -113.48122360317677)",1,POINT (-113.48122360317677 53.547041029071146)
Administration Office / Professional Service,PROGRESSIVE PROPERTY MANAGEMENT,,129000313-002,Issued,"Aug 06, 2024","Aug 29, 2025",,,,,,,,1,
Alcohol Sales (Consumption Off-Premises),SOBEYS SPIRITS WINE COLD BEER #3705,5221 - 23 AVENUE NW,007465140-002,Issued,"May 07, 2024","Jun 17, 2025",,6460,Meyokumin,Karhiio,53.453702,-113.422053,"(53.45370202756363, -113.42205314763181)",1,POINT (-113.42205314763181 53.45370202756363)
Administration Office / Professional Service,RED THE AGENCY,"6, 10235 - 111 STREET NW",007468095-002,Issued,"Jan 17, 2024","Jan 23, 2025",Downtown,1090,Downtown,O-day'min,53.543810,-113.511176,"(53.54381003282434, -113.5111755975464)",1,POINT (-113.5111755975464 53.54381003282434)
"Construction, Contracting, and Labour Service",EDA CLEANING COMPANY INC,,298332836-002,Issued,"Nov 07, 2023","Dec 19, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service, Industrial Equipment Sales, Rental, and Repair",BCI TECHNOLOGIES LTD,1037 - 77 AVENUE NW,051538100-001,Issued,"Dec 06, 2023","Jan 09, 2025",,6690,Southeast Industrial,Sspomitapi,53.512814,-113.361911,"(53.5128140169176, -113.36191064141984)",1,POINT (-113.36191064141984 53.5128140169176)
"Wholesale, Warehouse, and Storage",STANDENS SPRING,18922 - 111 AVENUE NW,147269666-001,Issued,"Mar 18, 2024","Apr 28, 2025",Northwest Industrial,4630,White Industrial,Nakota Isga,53.558543,-113.650415,"(53.55854304854172, -113.65041456145052)",1,POINT (-113.65041456145052 53.55854304854172)
Administration Office / Professional Service,ALIA PAYLESS TRAVEL,"4A, 9228 - 144 AVENUE NW",114371483-002,Issued,"Aug 27, 2024","Aug 30, 2025",,2260,Evansdale,tastawiyiniwak,53.606675,-113.482772,"(53.606675025750604, -113.48277158279065)",1,POINT (-113.48277158279065 53.606675025750604)
Residential Rental Accommodation (Long-Term),CATHOLIC SOCIAL SERVICES,8112 - 144 AVENUE NW,162028845-001,Issued,"Sep 18, 2023","Oct 27, 2024",,2410,Kilkenny,tastawiyiniwak,53.607224,-113.466882,"(53.607224023826014, -113.4668820861729)",1,POINT (-113.4668820861729 53.607224023826014)
Health Enhancement Centre (Accredited / Independent),CALM RETREAT,,263349884-003,Issued,"Mar 14, 2024","Mar 14, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",SERVANTAGE SERVICES,9218 - ELLERSLIE ROAD SW,157208718-001,Issued,"Jun 24, 2024","Jul 28, 2025",,6214,Ellerslie Industrial,Karhiio,53.425775,-113.476098,"(53.42577503563246, -113.47609814481498)",1,POINT (-113.47609814481498 53.42577503563246)
"Construction, Contracting, and Labour Service",ZANA CONSTRUCTION LTD.,,257208038-002,Issued,"Jun 27, 2024","Jul 14, 2025",,,,,,,,1,
Manufacturer,RIVER CITY METALWORKS,14653 - 119 AVENUE NW,120745262-001,Issued,"Aug 07, 2024","Aug 16, 2026",,3160,Dominion Industrial,Anirniq,53.571206,-113.574495,"(53.57120603875492, -113.57449507416725)",1,POINT (-113.57449507416725 53.57120603875492)
"Construction, Contracting, and Labour Service",SARBECNAT PLUMBING,,172803722-001,Issued,"Apr 20, 2024","May 20, 2025",,,,,,,,1,
Retail Sales (Minor),URBAN BARN LTD,13620 - 137 AVENUE NW,027504525-001,Issued,"Mar 14, 2024","Apr 19, 2025",,3340,Pembina,Anirniq,53.600366,-113.558048,"(53.600366035088896, -113.55804756803637)",1,POINT (-113.55804756803637 53.600366035088896)
Residential Rental Accommodation (Long-Term),SOUTHWOOD 3 BUILDING 1,"1, 1693 - 42 STREET NW",075852098-001,Issued,"Jul 03, 2024","Jul 06, 2025",,6580,Pollard Meadows,Sspomitapi,53.444999,-113.404278,"(53.444999025973, -113.40427815451446)",1,POINT (-113.40427815451446 53.444999025973)
Administration Office / Professional Service,AMADOR BUSINESS COMPUTERS INC,17509 - 107 AVENUE NW,007251790-001,Issued,"Nov 21, 2022","Jan 02, 2025",,4300,McNamara Industrial,Nakota Isga,53.552864,-113.622402,"(53.55286404553551, -113.6224020696176)",1,POINT (-113.6224020696176 53.55286404553551)
"Construction, Contracting, and Labour Service",HOMEY TOUCHES PAINTING & DECORATING LTD,,255557867-002,Issued,"Jun 28, 2024","Jun 29, 2025",,,,,,,,1,
Vehicle Sales and Rental,REVV AUTO FINANCE,10515 - 103 AVENUE NW,508103694-001,Issued,"Jul 19, 2024","Jul 18, 2025",Downtown,1090,Downtown,O-day'min,53.544287,-113.502383,"(53.54428703175022, -113.50238259935688)",1,POINT (-113.50238259935688 53.54428703175022)
Health Enhancement Centre (Accredited),BEVERLY PHYSIOTHERAPY,4229 - 118 AVENUE NW,506929990-001,Issued,"May 15, 2024","May 14, 2025",Beverly,2100,Beverly Heights,Métis,53.570108,-113.407586,"(53.570108018953924, -113.40758561196945)",1,POINT (-113.40758561196945 53.570108018953924)
"Construction, Contracting, and Labour Service",TONY'S PAINTING & GARDENING LTD,15324 - 131 STREET NW,007464231-001,Issued,"Mar 13, 2023","Feb 12, 2025",,3320,Oxford,Anirniq,53.617196,-113.546487,"(53.617196032727044, -113.54648706495443)",1,POINT (-113.54648706495443 53.617196032727044)
"Construction, Contracting, and Labour Service",B4U HOMES LTD.,,517544907-001,Issued,"Aug 12, 2024","Aug 11, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",BLUE ISLE CONTRACTING LTD.,,516787138-001,Issued,"Jul 18, 2024","Jul 17, 2026",,,,,,,,1,
"Funeral, Cremation, and Cemetery Service",CAM THE CELEBRANT,,505043131-001,Issued,"May 14, 2024","May 13, 2025",,,,,,,,1,
Retail Sales (Minor),HISS CUSTOM BLINDS,,007481682-001,Issued,"Dec 09, 2023","Jan 21, 2025",,,,,,,,1,
"Construction, Contracting, and Labour Service",CASTLEMAINE CONSTRUCTION LTD.,,506612654-001,Issued,"Apr 19, 2024","Apr 18, 2025",,,,,,,,1,
Alcohol Sales (Consumption Off-Premises),BELMONT LIQUOR LTD,"12, 13508 - VICTORIA TRAIL NW",007368891-002,Issued,"Dec 16, 2022","Dec 31, 2024",,2070,Belmont,Dene,53.597486,-113.387592,"(53.59748601496142, -113.38759210726874)",1,POINT (-113.38759210726874 53.59748601496142)
Restaurant or Food Service,LITTLE CAESARS,15045 - STONY PLAIN ROAD NW,007270119-001,Issued,"Dec 28, 2023","Dec 31, 2024",Stony Plain Road and Area,4580,West Jasper Place,Nakota Isga,53.540354,-113.580516,"(53.540354041279684, -113.58051608318254)",1,POINT (-113.58051608318254 53.540354041279684)
Health Enhancement Centre (Accredited),CASTLEDOWNS MEDICAL & WELLNESS CENTRE,15183 - 121 STREET NW,139988984-004,Issued,"Nov 07, 2022","Nov 12, 2024",,3060,Caernarvon,Anirniq,53.613578,-113.529666,"(53.61357803093349, -113.52966606994505)",1,POINT (-113.52966606994505 53.61357803093349)
Residential Rental Accommodation (Long-Term),508572 ALBERTA LTD,10630 - 110 STREET NW,007258639-001,Issued,"Dec 12, 2023","Dec 31, 2024",North Edge,1180,Queen Mary Park,O-day'min,53.550407,-113.510802,"(53.55040703239198, -113.51080209541725)",1,POINT (-113.51080209541725 53.55040703239198)
Personal Service,CENTER ONE 18 BEAUTY SALON,6411 - 118 AVENUE NW,007260449-002,Issued,"Mar 26, 2024","Mar 23, 2025",,2330,Highlands,Métis,53.570108,-113.440341,"(53.57010802284962, -113.44034110461119)",1,POINT (-113.44034110461119 53.57010802284962)
Financial Service,IPC INVESTMENT CORPORATION,"201, 10107 - 97A AVENUE NW",171023117-002,Issued,"Mar 18, 2024","Apr 18, 2025",,1220,Rossdale,O-day'min,53.534558,-113.494139,"(53.53455803134242, -113.49413860446577)",1,POINT (-113.49413860446577 53.53455803134242)
Restaurant or Food Service,WENDY'S RESTAURANT,8427 - 112 STREET NW,317089197-002,Issued,"Jul 15, 2024","Aug 23, 2025",,5200,Garneau,papastew,53.520734,-113.520014,"(53.52073403523369, -113.52001360329949)",1,POINT (-113.52001360329949 53.52073403523369)
Retail Sales (Minor),PHUNG GOLDSMITH & JEWELLER,17517 - 100 AVENUE NW,049374953-003,Issued,"Oct 26, 2023","Nov 22, 2024",,4400,Place LaRue,Nakota Isga,53.538113,-113.622843,"(53.53811304645112, -113.6228430744724)",1,POINT (-113.6228430744724 53.53811304645112)
Retail Sales (Minor),SAY IT WITH WORDS,,174021884-002,Issued,"Oct 04, 2023","Oct 10, 2024",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",LITTLE VILLAGE,14816 - STONY PLAIN ROAD NW,254663814-002,Renewal Notice,"Aug 14, 2023","Sep 21, 2024",Stony Plain Road and Area,3210,Grovenor,Nakota Isga,53.542361,-113.576840,"(53.54236104072433, -113.57683958333149)",1,POINT (-113.57683958333149 53.54236104072433)
Residential Rental Accommodation (Long-Term),SHERWOOD APARTMENTS,10506 - 156 STREET NW,007398323-001,Issued,"Dec 27, 2023","Jan 04, 2025",,4060,Britannia Youngstown,Nakota Isga,53.548409,-113.590880,"(53.54840904204153, -113.59087957816114)",1,POINT (-113.59087957816114 53.54840904204153)
Personal Service,CHAUHAN SIMRANJIT,,179927638-002,Issued,"Jan 29, 2024","Dec 11, 2024",,,,,,,,1,
Administration Office / Professional Service,LIGHTSPEED VENTURES,,113563103-002,Renewal Notice,"Aug 25, 2023","Sep 28, 2024",,,,,,,,1,
"Construction, Contracting, and Labour Service",SV HOLDINGS,2703 - 121 AVENUE NE,290426979-002,Issued,"Sep 20, 2023","Oct 09, 2024",,2160,Clover Bar Area,Dene,53.576210,-113.302943,"(53.57621000615601, -113.30294263347034)",1,POINT (-113.30294263347034 53.57621000615601)
Retail Sales (Major),WINNERS (STORE #353),"135, 5055 - 101 AVENUE NW",025811313-001,Issued,"Apr 26, 2024","Jun 04, 2025",,6550,Ottewell,Métis,53.539463,-113.421477,"(53.53946302241457, -113.42147711912314)",1,POINT (-113.42147711912314 53.53946302241457)
Residential Rental Accommodation (Long-Term),PATCH MANAGEMENT INC,9631 - 106A AVENUE NW,007468034-001,Issued,"Jan 11, 2024","Jan 15, 2025",,1140,McCauley,O-day'min,53.551118,-113.487254,"(53.55111802954844, -113.48725360045731)",1,POINT (-113.48725360045731 53.55111802954844)
Manufacturer,INTERNATIONAL RUBBER PRODUCTS,703 - 69 AVENUE NW,125095062-009,Issued,"Jun 21, 2024","Jul 14, 2025",,6420,Maple Ridge Industrial,Sspomitapi,53.505029,-113.352362,"(53.505029016246475, -113.35236164616643)",1,POINT (-113.35236164616643 53.505029016246475)
Personal Service,BARBER SHOP,13127 - 82 STREET NW,311952023-002,Issued,"Apr 16, 2023","Apr 24, 2025",,2020,Balwin,tastawiyiniwak,53.591915,-113.466698,"(53.591915024703084, -113.46669759136597)",1,POINT (-113.46669759136597 53.591915024703084)
Retail Sales (Major),MCELHERAN'S FINE FURNITURE LTD,10115 - 124 STREET NW,007455134-001,Issued,"Nov 19, 2023","Dec 31, 2024",124 Street and Area,1150,Oliver,O-day'min,53.542244,-113.535395,"(53.54224403579813, -113.53539459264665)",1,POINT (-113.53539459264665 53.54224403579813)
"Restaurant or Food Service, Retail Sales (Major), Food Processing / Catering Service",THE REAL CANADIAN SUPERSTORE #1538,1155 - WINDERMERE WAY SW,145515301-001,Issued,"Oct 25, 2022","Nov 20, 2024",,5570,Windermere,pihêsiwin,53.437484,-113.617038,"(53.437484051671426, -113.61703810942181)",1,POINT (-113.61703810942181 53.437484051671426)
Participant Recreation Service,KAY H MIN TAEKWONDO SCHOOL,10001 - 168 STREET NW,085140756-001,Issued,"Jul 17, 2023","Aug 27, 2025",Stony Plain Road and Area,4180,Glenwood,Nakota Isga,53.539463,-113.610603,"(53.53946304491438, -113.61060307675453)",1,POINT (-113.61060307675453 53.53946304491438)
Food Processing / Catering Service,CEDAR SWEETS,10710 - 134 AVENUE NW,093631284-001,Issued,"Nov 21, 2022","Jan 04, 2025",,3390,Rosslyn,Anirniq,53.595209,-113.505848,"(53.59520902917151, -113.50584758147315)",1,POINT (-113.50584758147315 53.59520902917151)
Food Processing / Catering Service,INDULGENCE DESSERT BAR,,514463197-001,Issued,"Jun 04, 2024","Jun 03, 2025",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",CRAFT RESTAURANT AND BAR,10013 - 101A AVENUE NW,142539709-001,Issued,"Feb 21, 2023","Mar 04, 2025",Downtown,1090,Downtown,O-day'min,53.541902,-113.491263,"(53.541902030567904, -113.49126310264889)",1,POINT (-113.49126310264889 53.541902030567904)
Hotel / Motel,ECONOMY INN,4009 - GATEWAY BOULEVARD NW,281478887-002,Issued,"Aug 27, 2024","Sep 26, 2026",,5120,Calgary Trail South,papastew,53.476220,-113.491236,"(53.47622003444034, -113.4912361246235)",1,POINT (-113.4912361246235 53.47622003444034)
Retail Sales (Minor),BELOW THE BELT,"794, 1 - KINGSWAY GARDEN MALL NW",273126327-002,Issued,"Jun 25, 2024","Jul 07, 2025",Kingsway,1230,Spruce Avenue,O-day'min,53.562305,-113.505555,"(53.56230503106817, -113.50555509259978)",1,POINT (-113.50555509259978 53.56230503106817)
"Vehicle Repair, Maintenance, and Modification",DOST AUTO REPAIR LTD,12421 - 67 STREET NW,007271810-001,Issued,"Nov 30, 2022","Dec 31, 2024",,2360,Industrial Heights,Métis,53.580611,-113.444049,"(53.580611022672294, -113.44404910025108)",1,POINT (-113.44404910025108 53.580611022672294)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Prohibited)",BOSTON PIZZA #178,5228 - 23 AVENUE NW,163179638-001,Issued,"Nov 29, 2022","Dec 01, 2024",,6520,Mill Woods Town Centre,Karhiio,53.454926,-113.422931,"(53.45492602759502, -113.42293064702753)",1,POINT (-113.42293064702753 53.45492602759502)
Administration Office / Professional Service,MORGUARD INVESTMENTS,"160, 1 - BONNIE DOON SHOPPING CENTRE NW",134019917-001,Issued,"Feb 22, 2024","Apr 04, 2026",French Quarter,6040,Bonnie Doon,Métis,53.520878,-113.456874,"(53.520878027719036, -113.4568741174014)",1,POINT (-113.4568741174014 53.520878027719036)
Administration Office / Professional Service,ACTION FOR HEALTHY COMMUNITIES SOCIETY OF ALBERTA - AHC ALBERTA,10578 - 113 STREET NW,236796667-002,Issued,"Nov 24, 2023","Jan 04, 2025",North Edge,1180,Queen Mary Park,O-day'min,53.549336,-113.516319,"(53.54933603311139, -113.51631909454036)",1,POINT (-113.51631909454036 53.54933603311139)
Retail Sales (Minor),DA VINCI SHOES,"2868, 8882 - 170 STREET NW",007344380-001,Issued,"Nov 20, 2023","Dec 31, 2024",,4520,Summerlea,sipiwiyiniwak,53.522273,-113.618303,"(53.5222730468383, -113.61830258079999)",1,POINT (-113.61830258079999 53.5222730468383)
Commercial School,ALBERTA CONSTRUCTION SAFETY ASSOCIATION,"101, 225 - PARSONS ROAD SW",107934863-001,Issued,"Feb 02, 2024","Mar 15, 2025",,6214,Ellerslie Industrial,Karhiio,53.431787,-113.478353,"(53.43178703554308, -113.47835264231111)",1,POINT (-113.47835264231111 53.43178703554308)
Manufacturer,FLEXXAIRE INC,10430 - 180 STREET NW,007263477-001,Issued,"Jan 12, 2024","Dec 31, 2025",,4340,Morin Industrial,Nakota Isga,53.547050,-113.634620,"(53.54705004733107, -113.63461956884079)",1,POINT (-113.63461956884079 53.54705004733107)
Health Enhancement Centre (Accredited),ALBERTA MOMENTUM MASSAGE THERAPY CLINIC,17635 - STONY PLAIN ROAD NW,185820988-005,Issued,"Jun 13, 2024","Jun 22, 2025",,4400,Place LaRue,Nakota Isga,53.540210,-113.626457,"(53.5402100467588, -113.62645657296117)",1,POINT (-113.62645657296117 53.5402100467588)
"Construction, Contracting, and Labour Service",MILLAR WESTERN INDUSTRIES LTD,16640 - 111 AVENUE NW,007267010-001,Issued,"Dec 20, 2023","Dec 31, 2024",,4600,West Sheffield Industrial,Nakota Isga,53.560109,-113.607840,"(53.560109043376805, -113.60784007043823)",1,POINT (-113.60784007043823 53.560109043376805)
Administration Office / Professional Service,EIGENSPACE CONSULTING LIMITED,,507284438-001,Issued,"Apr 25, 2024","Apr 24, 2025",,,,,,,,1,
Residential Rental Accommodation (Long-Term),WINDMILL SUITES,22130 - STONY PLAIN ROAD NW,103405270-001,Issued,"Nov 17, 2023","Dec 30, 2025",,4670,Winterburn Industrial Area West,Nakota Isga,53.542361,-113.699307,"(53.542361055313904, -113.6993070559772)",1,POINT (-113.6993070559772 53.542361055313904)
Retail Sales (Minor),WEE BOOK INN,10332 - JASPER AVENUE NW,148938057-002,Renewal Notice,"Sep 28, 2023","Oct 07, 2024",Downtown,1090,Downtown,O-day'min,53.541272,-113.498445,"(53.54127203145926, -113.49844510125025)",1,POINT (-113.49844510125025 53.54127203145926)
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed), Retail Sales (Minor), Tobacco and Vaping Product Sales, Vehicle Wash / Fueling Station",7-ELEVEN FOOD STORE #33535,5004 - 162 AVENUE NW,060703864-001,Issued,"Nov 10, 2023","Nov 10, 2024",,2340,Hollick-Kenyon,Dene,53.622542,-113.414358,"(53.62254201667195, -113.41435809281685)",1,POINT (-113.41435809281685 53.62254201667195)
Administration Office / Professional Service,HIRE ENGINE INC.,,505106957-001,Issued,"Aug 13, 2024","Aug 12, 2025",,,,,,,,1,
Residential Rental Accommodation (Long-Term),SUSSEX APARTMENTS,10235 - 113 STREET NW,160560923-001,Issued,"Mar 14, 2024","Apr 24, 2025",,1150,Oliver,O-day'min,53.543846,-113.515253,"(53.54384603330732, -113.51525259662084)",1,POINT (-113.51525259662084 53.54384603330732)
Alcohol Sales (Consumption Off-Premises),ROYAL IMPERIAL LIQUOR STORE,9647 - 107A AVENUE NW,271393756-002,Issued,"Jan 03, 2024","Jan 10, 2025",Chinatown and Area,1140,McCauley,O-day'min,53.552900,-113.487794,"(53.55290002950779, -113.48779359973841)",1,POINT (-113.48779359973841 53.55290002950779)
"Wholesale, Warehouse, and Storage",INTERNATIONAL BEAUTY SERVICES,5212 - 82 AVENUE NW,007271677-001,Issued,"Dec 27, 2023","Jan 12, 2025",,6350,Kenilworth,Métis,53.518430,-113.420442,"(53.51843002353508, -113.4204421263949)",1,POINT (-113.4204421263949 53.51843002353508)
Retail Sales (Minor),CYLINDER EXCHANGE,15919 - 121A AVENUE NW,062758485-001,Issued,"Oct 23, 2023","Nov 21, 2024",,4190,Hawin Park Estate Industrial,Nakota Isga,53.572736,-113.596185,"(53.5727360412496, -113.59618506879941)",1,POINT (-113.59618506879941 53.5727360412496)
Administration Office / Professional Service,MOMENTS IN DIGITAL LTD,,091381563-002,Issued,"Oct 18, 2022","Nov 29, 2024",,,,,,,,1,
"Restaurant or Food Service, Alcohol Sales (Consumption On-Premises / Minors Allowed)",CLAREVIEW CHINESE FOOD RESTAURANT,"303, 14013 - VICTORIA TRAIL NW",007259066-001,Issued,"Nov 20, 2023","Dec 31, 2024",,2030,Bannerman,Dene,53.603696,-113.384271,"(53.603696014200295, -113.38427110592778)",1,POINT (-113.38427110592778 53.603696014200295)
Retail Sales (Major),KABAYAN FILIPINO STORE,4202A - 66 STREET NW,113017791-001,Issued,"Apr 16, 2024","Apr 29, 2026",,6480,Michaels Park,Karhiio,53.481143,-113.443829,"(53.48114302851977, -113.44382863360357)",1,POINT (-113.44382863360357 53.48114302851977)
Residential Rental Accommodation (Long-Term),CHEUNG MORKEO & SOUK / KHAMPHASOUK P & T / SIVONGSA T & T,10654 - 107 STREET NW,007364281-002,Issued,"Feb 15, 2024","Mar 02, 2025",North Edge,1030,Central McDougall,O-day'min,53.550956,-113.505281,"(53.550956031702704, -113.50528059647046)",1,POINT (-113.50528059647046 53.550956031702704)
Vehicle Sales and Rental,KORDYBAN EQUIPMENT LTD,,007435017-001,Issued,"Dec 10, 2023","Jan 07, 2026",,,,,,,,1,
"Vehicle Repair, Maintenance, and Modification, Vehicle Sales and Rental",RED LINE MOTORS.CA LTD,14421 - MARK MESSIER TRAIL NW,082886805-001,Issued,"Jan 09, 2024","Feb 19, 2026",,3360,Rampart Industrial,Anirniq,53.606531,-113.580512,"(53.606531037406555, -113.58051156092793)",1,POINT (-113.58051156092793 53.606531037406555)
"Construction, Contracting, and Labour Service",MORRISON HOMES (EDMONTON) LTD,3552 - 78 AVENUE NW,170778891-002,Issued,"Oct 12, 2023","Nov 12, 2024",,6780,Weir Industrial,Métis,53.515190,-113.395467,"(53.51519002076065, -113.39546713308603)",1,POINT (-113.39546713308603 53.51519002076065)
"Construction, Contracting, and Labour Service",HARKEN ELECTRICAL,,223489442-002,Issued,"Jun 25, 2024","Jun 23, 2025",,,,,,,,1,
